NAICS Code,Kind of business,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992
4521,   Department stores (incl LD)² ,"170,421","172,371","179,362","185,609","187,058","189,283","202,144","213,941","218,132","220,676","221,419","220,775","227,773","235,579","239,921","236,847","228,934","225,062","217,001","210,919","203,808","192,125","181,255"
45211,   Department stores ,"170,421","172,371","179,362","185,609","187,058","189,283","202,144","213,941","218,132","220,676","221,419","220,775","227,773","235,579","239,921","236,847","228,934","225,062","217,001","210,919","203,808","192,125","181,255"
452111,      Department stores (except discount dept stores) ,"62,743","62,674","64,856","67,560","66,494","65,013","73,153","79,015","82,662","87,461","87,265","88,277","90,228","93,871","100,284","100,302","97,523","97,013","95,065","92,258","92,015","88,720","87,384"
452112,      Discount dept stores ,"107,678","109,697","114,506","118,049","120,564","124,270","128,991","134,926","135,470","133,215","134,154","132,498","137,545","141,708","139,637","136,545","131,411","128,049","121,936","118,661","111,793","103,405","93,871"
4529,   Other general merchandise stores ,"498,805","481,674","465,000","441,418","419,021","402,347","396,811","369,190","341,101","313,119","281,691","254,301","225,777","199,091","171,753","149,875","127,791","111,255","103,102","94,578","86,245","78,311","70,787"
45291,   Warehouse clubs and supercenters ,"433,303","419,365","406,309","386,343","367,993","354,529","351,226","324,963","297,956","271,920","242,330","216,286","191,252","164,716","139,614","118,809","98,493","81,919","73,079","65,101","57,756","46,628","40,025"
45299,   All other general merchandise stores ,"65,502","62,309","58,691","55,075","51,028","47,818","45,585","44,227","43,145","41,199","39,361","38,015","34,525","34,375","32,139","31,066","29,298","29,336","30,023","29,477","28,489","31,683","30,762"
453,   Miscellaneous store retailers ,"116,065","112,454","110,018","108,367","104,250","101,754","110,692","116,418","113,694","107,279","104,177","101,913","102,783","103,087","106,719","104,218","98,369","90,232","82,819","75,977","69,457","61,545","54,840"
4531,         Florists ,"5,990","5,789","5,578","5,580","5,891","5,868","6,710","7,244","7,329","7,078","6,730","6,945","7,494","7,859","8,171","7,804","7,585","7,316","7,122","6,636","6,587","6,429","6,397"
4532,"         Office supplies, stationery, and gift stores ","33,000","33,003","33,454","34,047","34,291","34,464","38,080","41,245","41,290","39,775","39,319","38,704","39,025","39,385","41,653","40,006","37,120","33,667","30,889","29,327","27,143","23,876","21,416"
45321,   Office supplies and stationery stores ,"15,740","16,643","17,401","18,112","18,766","19,391","21,269","23,204","22,788","22,162","21,685","21,017","20,961","20,885","22,748","21,600","19,522","17,334","15,592","14,824","13,235","11,127","9,184"
45322,"   Gift, novelty, and souvenir stores ","17,260","16,360","16,053","15,935","15,525","15,073","16,811","18,041","18,502","17,613","17,634","17,687","18,064","18,500","18,905","18,406","17,598","16,333","15,297","14,503","13,908","12,749","12,232"
4533,         Used merchandise stores ,"16,297","15,463","14,728","13,245","11,801","10,873","11,242","10,930","10,413","9,320","9,271","9,214","9,500","9,527","9,832","9,377","9,023","8,058","7,256","6,617","6,125","6,136","5,567"
4539,         Other miscellaneous store retailers ,"60,778","58,199","56,258","55,495","52,267","50,549","54,660","56,999","54,662","51,106","48,857","47,050","46,764","46,316","47,063","47,031","44,641","41,191","37,552","33,397","29,602","25,104","21,460"
45399,    All other miscellaneous store retailers ,"29,703","29,664","29,678","29,770","27,645","26,711","27,290","27,213","27,332","25,777","25,270","24,666","24,040","22,643","22,132","20,770","19,366","18,044","16,314","14,465","13,063","11,316","10,071"
454,   Nonstore retailers ,"470,196","433,440","408,171","377,443","341,699","311,592","319,353","308,767","284,343","255,579","228,977","206,359","189,279","180,563","180,453","151,797","133,904","126,190","117,761","103,516","96,280","85,811","78,501"
4541,   Electronic shopping and mail-order houses ,"386,135","350,836","328,655","295,755","264,240","236,070","229,445","223,681","202,251","175,900","154,157","134,304","122,214","114,749","113,790","94,282","80,297","70,067","61,106","52,680","47,037","40,677","35,210"
4542,   Vending machine operators ,"6,533","6,438","6,642","6,293","6,456","6,694","7,684","7,866","8,088","7,979","8,127","7,738","7,968","7,853","8,572","8,217","7,859","7,772","7,466","6,753","6,958","6,850","7,028"
4543,   Direct selling establishments ,"77,528","76,166","72,874","75,395","71,003","68,828","82,224","77,220","74,004","71,700","66,693","64,317","59,097","57,961","58,091","49,298","45,748","48,351","49,189","44,083","42,285","38,284","36,263"
45431,   Fuel dealers ,"39,482","37,642","35,935","39,510","35,514","33,454","43,573","37,436","35,480","34,311","30,345","28,414","23,981","26,093","26,692","19,912","18,925","21,941","22,563","19,820","18,700","17,566","16,665"
722,   Food services and drinking places ,"575,197","542,239","524,161","495,382","466,941","452,018","456,273","444,551","422,786","396,463","373,557","349,726","330,525","316,638","304,261","283,900","271,194","257,364","242,245","233,012","225,000","215,467","202,865"
7221,   Full-service restaurants ,"252,331","234,643","227,210","213,880","198,705","193,851","197,055","195,505","186,091","174,119","165,099","155,314","147,537","140,070","133,579","125,108","119,432","114,186","104,113","99,032","96,683","91,122","86,208"
7222,   Limited-service eating places ,"248,361","235,661","225,958","214,284","203,284","194,896","194,003","186,001","178,189","169,034","158,485","146,799","137,955","132,564","127,519","119,653","115,508","109,122","106,036","103,018","98,342","94,597","87,260"
722211,      Limited-service restaurants ,"204,704","195,682","187,732","177,791","168,695","161,952","161,012","153,812","149,735","143,166","135,314","126,301","118,595","114,151","110,485","104,489","101,055","95,712","92,564","89,459","84,795","81,133","73,960"
7223,   Special food services ,"52,837","50,480","49,572","46,647","44,752","43,305","44,984","43,157","39,173","35,257","32,368","30,354","28,703","28,320","27,833","24,609","22,297","20,677","19,147","18,510","18,213","17,607","17,116"
72231,   Food service contractors ,"40,419","38,778","38,081","36,151","34,778","33,668","34,362","32,804","29,627","26,731","24,437","23,027","21,315","21,245","20,671","18,139","16,367","15,412","14,381","14,072","14,146","13,704","13,310"
7224,   Drinking places (alcoholic beverages) ,"21,668","21,455","21,421","20,571","20,200","19,966","20,231","19,888","19,333","18,053","17,605","17,259","16,330","15,684","15,330","14,530","13,957","13,379","12,949","12,452","11,762","12,141","12,281"
